port,proto,name,desc
0,tcp,,Reserved
0,udp,,Reserved
1,tcp,tcpmux,TCP Port Service Multiplexer
1,udp,tcpmux,TCP Port Service Multiplexer
5,tcp,rje,Remote Job Entry
5,udp,rje,Remote Job Entry
7,tcp,echo,Echo
7,udp,echo,Echo
9,tcp,discard,Discard
9,udp,discard,Discard
11,tcp,systat,Active Users
11,udp,systat,Active Users
13,tcp,daytime,Daytime
13,udp,daytime,Daytime
17,tcp,qotd,Quote of the Day
17,udp,qotd,Quote of the Day
18,tcp,msp,Message Send Protocol (historic)
18,udp,msp,Message Send Protocol (historic)
19,tcp,chargen,Character Generator
19,udp,chargen,Character Generator
20,tcp,ftp-data,File Transfer [Default Data]
20,udp,ftp-data,File Transfer [Default Data]
21,tcp,ftp,File Transfer Protocol [Control]
21,udp,ftp,File Transfer Protocol [Control]
22,tcp,ssh,The Secure Shell (SSH) Protocol
22,udp,ssh,The Secure Shell (SSH) Protocol
23,tcp,telnet,Telnet
23,udp,telnet,Telnet
25,tcp,smtp,Simple Mail Transfer
25,udp,smtp,Simple Mail Transfer
27,tcp,nsw-fe,NSW User System FE
27,udp,nsw-fe,NSW User System FE
29,tcp,msg-icp,MSG ICP
29,udp,msg-icp,MSG ICP
31,tcp,msg-auth,MSG Authentication
31,udp,msg-auth,MSG Authentication
33,tcp,dsp,Display Support Protocol
33,udp,dsp,Display Support Protocol
37,tcp,time,Time
37,udp,time,Time
38,tcp,rap,Route Access Protocol
38,udp,rap,Route Access Protocol
39,tcp,rlp,Resource Location Protocol
39,udp,rlp,Resource Location Protocol
41,tcp,graphics,Graphics
41,udp,graphics,Graphics
42,tcp,name,Host Name Server
42,udp,name,Host Name Server
43,tcp,nicname,Who Is
43,udp,nicname,Who Is
44,tcp,mpm-flags,MPM FLAGS Protocol
44,udp,mpm-flags,MPM FLAGS Protocol
45,tcp,mpm,Message Processing Module [recv]
45,udp,mpm,Message Processing Module [recv]
46,tcp,mpm-snd,MPM [default send]
46,udp,mpm-snd,MPM [default send]
48,tcp,auditd,Digital Audit Daemon
48,udp,auditd,Digital Audit Daemon
49,tcp,tacacs,Login Host Protocol (TACACS)
49,udp,tacacs,Login Host Protocol (TACACS)
50,tcp,re-mail-ck,Remote Mail Checking Protocol
50,udp,re-mail-ck,Remote Mail Checking Protocol
52,tcp,xns-time,XNS Time Protocol
52,udp,xns-time,XNS Time Protocol
53,tcp,domain,Domain Name Server
53,udp,domain,Domain Name Server
54,tcp,xns-ch,XNS Clearinghouse
54,udp,xns-ch,XNS Clearinghouse
55,tcp,isi-gl,ISI Graphics Language
55,udp,isi-gl,ISI Graphics Language
56,tcp,xns-auth,XNS Authentication
56,udp,xns-auth,XNS Authentication
58,tcp,xns-mail,XNS Mail
58,udp,xns-mail,XNS Mail
62,tcp,acas,ACA Services
62,udp,acas,ACA Services
63,tcp,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63,udp,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
64,tcp,covia,Communications Integrator (CI)
64,udp,covia,Communications Integrator (CI)
65,tcp,tacacs-ds,TACACS-Database Service
65,udp,tacacs-ds,TACACS-Database Service
66,tcp,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,udp,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
67,tcp,bootps,Bootstrap Protocol Server
67,udp,bootps,Bootstrap Protocol Server
68,tcp,bootpc,Bootstrap Protocol Client
68,udp,bootpc,Bootstrap Protocol Client
69,tcp,tftp,Trivial File Transfer
69,udp,tftp,Trivial File Transfer
70,tcp,gopher,Gopher
70,udp,gopher,Gopher
71,tcp,netrjs-1,Remote Job Service
71,udp,netrjs-1,Remote Job Service
72,tcp,netrjs-2,Remote Job Service
72,udp,netrjs-2,Remote Job Service
73,tcp,netrjs-3,Remote Job Service
73,udp,netrjs-3,Remote Job Service
74,tcp,netrjs-4,Remote Job Service
74,udp,netrjs-4,Remote Job Service
76,tcp,deos,Distributed External Object Store
76,udp,deos,Distributed External Object Store
78,tcp,vettcp,vettcp
78,udp,vettcp,vettcp
79,tcp,finger,Finger
79,udp,finger,Finger
80,tcp,http,World Wide Web HTTP
80,udp,http,World Wide Web HTTP
82,tcp,xfer,XFER Utility
82,udp,xfer,XFER Utility
83,tcp,mit-ml-dev,MIT ML Device
83,udp,mit-ml-dev,MIT ML Device
84,tcp,ctf,Common Trace Facility
84,udp,ctf,Common Trace Facility
85,tcp,mit-ml-dev,MIT ML Device
85,udp,mit-ml-dev,MIT ML Device
86,tcp,mfcobol,Micro Focus Cobol
86,udp,mfcobol,Micro Focus Cobol
88,tcp,kerberos,Kerberos
88,udp,kerberos,Kerberos
89,tcp,su-mit-tg,SU/MIT Telnet Gateway
89,udp,su-mit-tg,SU/MIT Telnet Gateway
90,tcp,dnsix,DNSIX Securit Attribute Token Map
90,udp,dnsix,DNSIX Securit Attribute Token Map
91,tcp,mit-dov,MIT Dover Spooler
91,udp,mit-dov,MIT Dover Spooler
92,tcp,npp,Network Printing Protocol
92,udp,npp,Network Printing Protocol
93,tcp,dcp,Device Control Protocol
93,udp,dcp,Device Control Protocol
94,tcp,objcall,Tivoli Object Dispatcher
94,udp,objcall,Tivoli Object Dispatcher
95,tcp,supdup,SUPDUP
95,udp,supdup,SUPDUP
96,tcp,dixie,DIXIE Protocol Specification
96,udp,dixie,DIXIE Protocol Specification
97,tcp,swift-rvf,Swift Remote Virtural File Protocol
97,udp,swift-rvf,Swift Remote Virtural File Protocol
98,tcp,tacnews,TAC News
98,udp,tacnews,TAC News
99,tcp,metagram,Metagram Relay
99,udp,metagram,Metagram Relay
101,tcp,hostname,NIC Host Name Server
101,udp,hostname,NIC Host Name Server
102,tcp,iso-tsap,ISO-TSAP Class 0
102,udp,iso-tsap,ISO-TSAP Class 0
103,tcp,gppitnp,Genesis Point-to-Point Trans Net
103,udp,gppitnp,Genesis Point-to-Point Trans Net
104,tcp,acr-nema,ACR-NEMA Digital Imag. & Comm. 300
104,udp,acr-nema,ACR-NEMA Digital Imag. & Comm. 300
105,tcp,cso,CCSO name server protocol
105,udp,cso,CCSO name server protocol
106,tcp,3com-tsmux,3COM-TSMUX
106,udp,3com-tsmux,3COM-TSMUX
107,tcp,rtelnet,Remote Telnet Service
107,udp,rtelnet,Remote Telnet Service
108,tcp,snagas,SNA Gateway Access Server
